垃圾,焚烧,项目,生活,发电,建设,环保,环境,技术,城市,烟气,排放,企业,发展,发电厂,标准,投资,行业,公司,政府,采用,设施,运行,无害化,运营,工程,污染,填埋,工作,能力,设备,国家,系统,分类,管理,规划,污染物,居民,社会,规模,亿元,过程,公众,控制,处置,经济,焚烧炉,设计,飞灰,影响,信息,工艺,填埋场,产业,报告,滤液,情况,公开,全国,国际,能源,提高,焚烧厂,建成,分析,炉排,资源化,循环,监测,光大,周边,固废,资源,推进,净化,实施,邻避,成本,锅炉,市场,浓度,水平,生产,数据,研究,政策,发布,处理厂,群众,措施,回收,选址,生态,提供,解决,先进,监管,部门,减少,投入
5,2,10,7,1,7,0,2,0,5,0,0,0,1,0,1,4,0,2,0,0,0,0,1,1,4,0,2,0,0,0,0,7,0,2,1,0,0,0,1,2,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,1,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
6,0,2,5,1,3,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,2,2,6,1,2,1,1,0,5,1,0,0,3,4,0,2,0,1,0,3,0,0,1,1,0,1,3,1,0,1,0,0,0,0,0,0,0,2,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
4,2,1,0,1,5,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,1,11,21,5,6,5,1,7,0,0,2,17,0,0,1,5,2,0,0,2,0,1,0,0,0,0,0,2,0,5,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,3,0,5,0,0,0,3,0,1,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,1,5,2,0,1,1,0,0,0,2,3,0,0,0,4,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,1,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
9,2,12,16,5,4,4,2,0,5,1,1,0,1,3,1,2,0,0,2,0,0,0,1,0,0,0,0,1,1,0,1,0,0,3,0,0,1,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0
4,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,9,0,0,0,0,0,0,0
2,1,0,8,10,0,1,0,3,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1
7,0,0,2,0,0,0,0,0,0,0,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,12,0,0,0,4,1,7,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,14,1,0,0,5,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,2,0,0,0,1,0,0,0,1,0
1,0,5,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,7,7,4,10,2,5,3,2,1,0,3,0,1,2,5,0,1,0,0,0,0,0,2,3,0,0,3,2,0,0,0,0,0,0,0,0,9,0,0,0,1,3,2,0,1,0,0,0,2,0,0,0,1,0,0,3,0,0,4,5,0,0,1,0,0,0,1,0,8,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
2,0,8,2,1,2,0,0,0,0,3,1,1,0,2,0,0,0,2,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,2,0,1,1,3,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7,2,9,2,5,1,0,2,3,3,3,3,6,12,4,0,10,0,2,1,4,5,2,1,1,1,1,1,3,2,0,1,0,3,0,2,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,3,2,2,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,1,0,3,1,0,0,3
95,18,33,25,13,25,10,1,15,6,12,12,18,2,10,6,7,0,3,29,8,16,8,2,9,6,7,7,4,2,5,5,4,23,3,2,0,13,3,3,3,0,4,5,2,6,5,5,3,2,4,8,15,1,4,1,11,8,9,2,4,1,17,7,0,4,4,6,0,0,9,0,3,1,0,3,0,5,0,1,0,3,2,10,0,1,1,7,0,0,0,5,0,1,1,2,3,5,1,3
10,0,9,0,8,2,0,4,1,0,0,0,1,4,0,0,4,1,5,1,0,1,0,0,3,0,0,2,0,2,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,0,1,3,0,4,7,0,1,0,1,7,1,0,1,0,5,0,0,0,5,1,0,0,0,0,0,6,0,1,0,0,0,2,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1
2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
